                                                   
{'loss': 1.4569, 'grad_norm': 16.278175354003906, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 1.39, 'grad_norm': 15.801554679870605, 'learning_rate': 5.405405405405406e-07, 'epoch': 0.0}
{'loss': 1.4051, 'grad_norm': 15.509817123413086, 'learning_rate': 1.0810810810810812e-06, 'epoch': 0.01}
{'loss': 1.4091, 'grad_norm': 16.487613677978516, 'learning_rate': 1.6216216216216219e-06, 'epoch': 0.01}
{'loss': 1.3754, 'grad_norm': 13.872775077819824, 'learning_rate': 2.1621621621621623e-06, 'epoch': 0.01}
{'loss': 1.3471, 'grad_norm': 10.976224899291992, 'learning_rate': 2.702702702702703e-06, 'epoch': 0.01}
{'loss': 1.2633, 'grad_norm': 7.133458137512207, 'learning_rate': 3.2432432432432437e-06, 'epoch': 0.02}
{'loss': 1.3064, 'grad_norm': 6.450649738311768, 'learning_rate': 3.7837837837837844e-06, 'epoch': 0.02}
{'loss': 1.3038, 'grad_norm': 5.2015910148620605, 'learning_rate': 4.324324324324325e-06, 'epoch': 0.02}
{'loss': 1.129, 'grad_norm': 4.057240009307861, 'learning_rate': 4.864864864864866e-06, 'epoch': 0.02}
{'loss': 1.0747, 'grad_norm': 4.033050060272217, 'learning_rate': 5.405405405405406e-06, 'epoch': 0.03}
{'loss': 1.0338, 'grad_norm': 3.544559955596924, 'learning_rate': 5.945945945945947e-06, 'epoch': 0.03}
{'loss': 1.0521, 'grad_norm': 2.082010507583618, 'learning_rate': 6.486486486486487e-06, 'epoch': 0.03}
{'loss': 1.047, 'grad_norm': 1.8616091012954712, 'learning_rate': 7.027027027027028e-06, 'epoch': 0.03}
{'loss': 1.0247, 'grad_norm': 1.4958590269088745, 'learning_rate': 7.567567567567569e-06, 'epoch': 0.04}
{'loss': 0.9986, 'grad_norm': 1.7886033058166504, 'learning_rate': 8.108108108108109e-06, 'epoch': 0.04}
{'loss': 1.033, 'grad_norm': 1.4696204662322998, 'learning_rate': 8.64864864864865e-06, 'epoch': 0.04}
{'loss': 0.9376, 'grad_norm': 1.4522666931152344, 'learning_rate': 9.189189189189191e-06, 'epoch': 0.04}
{'loss': 0.9755, 'grad_norm': 1.3788373470306396, 'learning_rate': 9.729729729729732e-06, 'epoch': 0.05}
{'loss': 0.9992, 'grad_norm': 1.3124704360961914, 'learning_rate': 1.027027027027027e-05, 'epoch': 0.05}
{'loss': 0.9616, 'grad_norm': 1.4290919303894043, 'learning_rate': 1.0810810810810812e-05, 'epoch': 0.05}
{'loss': 0.9328, 'grad_norm': 1.364577293395996, 'learning_rate': 1.1351351351351352e-05, 'epoch': 0.05}
{'loss': 1.0122, 'grad_norm': 1.2669414281845093, 'learning_rate': 1.1891891891891894e-05, 'epoch': 0.06}
