                                                   
{'loss': 1.4432, 'grad_norm': 16.352027893066406, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 1.3876, 'grad_norm': 15.873359680175781, 'learning_rate': 5.405405405405406e-07, 'epoch': 0.0}
{'loss': 1.3959, 'grad_norm': 15.876842498779297, 'learning_rate': 1.0810810810810812e-06, 'epoch': 0.01}
{'loss': 1.3949, 'grad_norm': 16.273935317993164, 'learning_rate': 1.6216216216216219e-06, 'epoch': 0.01}
{'loss': 1.3468, 'grad_norm': 13.486157417297363, 'learning_rate': 2.1621621621621623e-06, 'epoch': 0.01}
{'loss': 1.3488, 'grad_norm': 11.491058349609375, 'learning_rate': 2.702702702702703e-06, 'epoch': 0.01}
{'loss': 1.2459, 'grad_norm': 7.069843292236328, 'learning_rate': 3.2432432432432437e-06, 'epoch': 0.02}
{'loss': 1.2919, 'grad_norm': 6.3773298263549805, 'learning_rate': 3.7837837837837844e-06, 'epoch': 0.02}
{'loss': 1.2914, 'grad_norm': 5.119633674621582, 'learning_rate': 4.324324324324325e-06, 'epoch': 0.02}
{'loss': 1.1177, 'grad_norm': 4.238736152648926, 'learning_rate': 4.864864864864866e-06, 'epoch': 0.02}
{'loss': 1.0604, 'grad_norm': 4.258548736572266, 'learning_rate': 5.405405405405406e-06, 'epoch': 0.03}
{'loss': 1.0107, 'grad_norm': 3.3906126022338867, 'learning_rate': 5.945945945945947e-06, 'epoch': 0.03}
{'loss': 1.0403, 'grad_norm': 1.9705132246017456, 'learning_rate': 6.486486486486487e-06, 'epoch': 0.03}
{'loss': 1.0417, 'grad_norm': 1.8014073371887207, 'learning_rate': 7.027027027027028e-06, 'epoch': 0.03}
{'loss': 1.0159, 'grad_norm': 1.4871962070465088, 'learning_rate': 7.567567567567569e-06, 'epoch': 0.04}
{'loss': 0.9898, 'grad_norm': 1.8208467960357666, 'learning_rate': 8.108108108108109e-06, 'epoch': 0.04}
{'loss': 1.027, 'grad_norm': 1.4239593744277954, 'learning_rate': 8.64864864864865e-06, 'epoch': 0.04}
{'loss': 0.9424, 'grad_norm': 1.4449615478515625, 'learning_rate': 9.189189189189191e-06, 'epoch': 0.04}
