                                                   
{'loss': 0.9923, 'grad_norm': 3.423240900039673, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 0.9419, 'grad_norm': 3.095158815383911, 'learning_rate': 5.405405405405406e-07, 'epoch': 0.0}
{'loss': 0.9669, 'grad_norm': 2.965355396270752, 'learning_rate': 1.0810810810810812e-06, 'epoch': 0.01}
{'loss': 0.9268, 'grad_norm': 3.0933995246887207, 'learning_rate': 1.6216216216216219e-06, 'epoch': 0.01}
{'loss': 0.9237, 'grad_norm': 2.678394079208374, 'learning_rate': 2.1621621621621623e-06, 'epoch': 0.01}
{'loss': 0.9908, 'grad_norm': 2.5905675888061523, 'learning_rate': 2.702702702702703e-06, 'epoch': 0.01}
{'loss': 0.9479, 'grad_norm': 2.826669216156006, 'learning_rate': 3.2432432432432437e-06, 'epoch': 0.02}
{'loss': 1.0035, 'grad_norm': 2.603299140930176, 'learning_rate': 3.7837837837837844e-06, 'epoch': 0.02}
{'loss': 1.0338, 'grad_norm': 3.2386231422424316, 'learning_rate': 4.324324324324325e-06, 'epoch': 0.02}
{'loss': 0.9192, 'grad_norm': 3.078928232192993, 'learning_rate': 4.864864864864866e-06, 'epoch': 0.02}
{'loss': 0.8805, 'grad_norm': 2.525493621826172, 'learning_rate': 5.405405405405406e-06, 'epoch': 0.03}
{'loss': 0.8778, 'grad_norm': 2.3145697116851807, 'learning_rate': 5.945945945945947e-06, 'epoch': 0.03}
{'loss': 0.9321, 'grad_norm': 2.558570623397827, 'learning_rate': 6.486486486486487e-06, 'epoch': 0.03}
{'loss': 0.9453, 'grad_norm': 2.5467514991760254, 'learning_rate': 7.027027027027028e-06, 'epoch': 0.03}
{'loss': 0.928, 'grad_norm': 2.229555130004883, 'learning_rate': 7.567567567567569e-06, 'epoch': 0.04}
{'loss': 0.912, 'grad_norm': 2.5873897075653076, 'learning_rate': 8.108108108108109e-06, 'epoch': 0.04}
{'loss': 0.949, 'grad_norm': 2.407909393310547, 'learning_rate': 8.64864864864865e-06, 'epoch': 0.04}
{'loss': 0.8792, 'grad_norm': 2.587407112121582, 'learning_rate': 9.189189189189191e-06, 'epoch': 0.04}
{'loss': 0.9062, 'grad_norm': 2.113077402114868, 'learning_rate': 9.729729729729732e-06, 'epoch': 0.05}
{'loss': 0.9363, 'grad_norm': 2.3357622623443604, 'learning_rate': 1.027027027027027e-05, 'epoch': 0.05}
{'loss': 0.8993, 'grad_norm': 2.3908450603485107, 'learning_rate': 1.0810810810810812e-05, 'epoch': 0.05}
{'loss': 0.8733, 'grad_norm': 2.3696036338806152, 'learning_rate': 1.1351351351351352e-05, 'epoch': 0.05}
{'loss': 0.9456, 'grad_norm': 2.323065757751465, 'learning_rate': 1.1891891891891894e-05, 'epoch': 0.06}
