                                                   
{'loss': 1.0167, 'grad_norm': 4.127633094787598, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 0.9563, 'grad_norm': 3.907702922821045, 'learning_rate': 5.405405405405406e-07, 'epoch': 0.0}
{'loss': 0.9847, 'grad_norm': 3.830007553100586, 'learning_rate': 1.0810810810810812e-06, 'epoch': 0.01}
{'loss': 0.9448, 'grad_norm': 4.115758895874023, 'learning_rate': 1.6216216216216219e-06, 'epoch': 0.01}
{'loss': 0.9603, 'grad_norm': 3.445164203643799, 'learning_rate': 2.1621621621621623e-06, 'epoch': 0.01}
{'loss': 0.9962, 'grad_norm': 3.2131547927856445, 'learning_rate': 2.702702702702703e-06, 'epoch': 0.01}
{'loss': 0.9613, 'grad_norm': 3.014080286026001, 'learning_rate': 3.2432432432432437e-06, 'epoch': 0.02}
{'loss': 1.0234, 'grad_norm': 2.7132861614227295, 'learning_rate': 3.7837837837837844e-06, 'epoch': 0.02}
{'loss': 1.0448, 'grad_norm': 3.437110662460327, 'learning_rate': 4.324324324324325e-06, 'epoch': 0.02}
{'loss': 0.9239, 'grad_norm': 3.242307186126709, 'learning_rate': 4.864864864864866e-06, 'epoch': 0.02}
{'loss': 0.8848, 'grad_norm': 2.5612101554870605, 'learning_rate': 5.405405405405406e-06, 'epoch': 0.03}
{'loss': 0.902, 'grad_norm': 2.487400770187378, 'learning_rate': 5.945945945945947e-06, 'epoch': 0.03}
{'loss': 0.9488, 'grad_norm': 4.506140232086182, 'learning_rate': 6.486486486486487e-06, 'epoch': 0.03}
{'loss': 0.9397, 'grad_norm': 2.8061795234680176, 'learning_rate': 7.027027027027028e-06, 'epoch': 0.03}
{'loss': 0.9357, 'grad_norm': 2.6167314052581787, 'learning_rate': 7.567567567567569e-06, 'epoch': 0.04}
{'loss': 0.9052, 'grad_norm': 2.749007225036621, 'learning_rate': 8.108108108108109e-06, 'epoch': 0.04}
{'loss': 0.9475, 'grad_norm': 2.5489492416381836, 'learning_rate': 8.64864864864865e-06, 'epoch': 0.04}
{'loss': 0.8647, 'grad_norm': 2.4413394927978516, 'learning_rate': 9.189189189189191e-06, 'epoch': 0.04}
{'loss': 0.8976, 'grad_norm': 2.112802267074585, 'learning_rate': 9.729729729729732e-06, 'epoch': 0.05}
{'loss': 0.9313, 'grad_norm': 2.4629006385803223, 'learning_rate': 1.027027027027027e-05, 'epoch': 0.05}
{'loss': 0.8922, 'grad_norm': 2.5144052505493164, 'learning_rate': 1.0810810810810812e-05, 'epoch': 0.05}
{'loss': 0.8671, 'grad_norm': 2.4447028636932373, 'learning_rate': 1.1351351351351352e-05, 'epoch': 0.05}
{'loss': 0.9402, 'grad_norm': 2.1531081199645996, 'learning_rate': 1.1891891891891894e-05, 'epoch': 0.06}
{'loss': 0.8957, 'grad_norm': 2.1001181602478027, 'learning_rate': 1.2432432432432433e-05, 'epoch': 0.06}
{'loss': 0.8728, 'grad_norm': 1.9819655418395996, 'learning_rate': 1.2972972972972975e-05, 'epoch': 0.06}
{'loss': 0.9127, 'grad_norm': 2.2152247428894043, 'learning_rate': 1.3513513513513515e-05, 'epoch': 0.06}
{'loss': 0.9089, 'grad_norm': 2.612523317337036, 'learning_rate': 1.4054054054054055e-05, 'epoch': 0.07}
{'loss': 0.8596, 'grad_norm': 2.321864128112793, 'learning_rate': 1.4594594594594596e-05, 'epoch': 0.07}
